events_id,User_id,ad_id,Interaction_score,device_type,geo_location,Product_id,product_name,product_category,conversion_value,timestamp
ba44d39c-19a6-4906-a336-a0aec8b74168,84,23.0,1,desktop,Tammyview,4,Herman Miller Chair,office,0.0,2024-06-15T03:26:03.892436
260829e4-c2b4-43ae-9bd6-83c868ee1b3c,66,37.0,0,mobile,South John,32,Canon EOS M50,electronics,0.0,2024-08-27T03:26:03.892573
c642fa03-5d5b-4e2b-a604-17b13dc6e73a,79,,2,tablet,South Michael,39,Fossil Smartwatch,accessories,0.0,2024-04-30T03:26:03.892675
25f234d7-e34e-4b93-8c2f-da41b51860cd,60,4.0,1,desktop,Port Nathanview,22,Schwinn Mountain Bike,outdoor,0.0,2024-07-30T03:26:03.892778
af4684f3-5bb8-41c2-af43-c4824d89d526,24,,4,mobile,East Nichole,3,Hydro Flask,beverages,45.0,2024-12-10T03:26:03.892873
b32bf30b-f388-4f5e-b13d-324d182e49ac,92,19.0,1,mobile,New Cynthiaside,15,Samsonite Spinner Luggage,accessories,0.0,2024-02-23T03:26:03.892973
2beec22f-693b-4ef2-a9af-c0609c7e9a7e,68,,4,tablet,Kaylabury,26,Nespresso Vertuo Plus,home,159.99,2024-07-11T03:26:03.893067
658239c4-2fd7-4135-9ea1-d98320b1359c,28,29.0,4,tablet,Michelleville,4,Herman Miller Chair,office,1400.0,2024-01-24T03:26:03.893159
47bc156c-fb97-4e7c-a3f6-108eb1210dd7,58,4.0,1,mobile,New Brooke,26,Nespresso Vertuo Plus,home,0.0,2024-04-29T03:26:03.893252
2041b840-57f4-4837-ad25-08267078e8ee,50,,2,mobile,North Phillip,5,Dell XPS 13,electronics,0.0,2024-11-06T03:26:03.893366
2d1a5bb7-9fa3-4b38-aab6-992ce0cc7092,85,22.0,1,tablet,Allenstad,26,Nespresso Vertuo Plus,home,0.0,2024-08-22T03:26:03.893532
3ba263f5-c3a5-4bf0-b1c9-27694803bda3,37,,2,desktop,East Crystal,17,Dyson V15 Vacuum,home,0.0,2024-11-01T03:26:03.893636
e6c5d28d-5475-4767-8cf4-1c0d174f3dda,52,32.0,4,tablet,West Ricardochester,21,Echo Dot (5th Gen),electronics,49.99,2024-04-16T03:26:03.893735
56a5d176-482b-48fb-9f4e-f909d6c4b14d,42,,2,tablet,North Wendy,1,Air Force 1s,fashion,0.0,2024-07-22T03:26:03.893827
2d6f90ba-b3a1-49a9-9908-a960272692a7,87,24.0,4,tablet,Port Dawnchester,3,Hydro Flask,beverages,45.0,2024-02-10T03:26:03.893923
2485e5dc-4191-4d1e-9931-be1bfdbe19bd,18,,2,desktop,New Catherineborough,12,Yeti Tumbler,beverages,0.0,2024-12-02T03:26:03.894026
bf3f33eb-e669-4551-aa5e-75adf3d804be,35,,4,tablet,Carpentertown,22,Schwinn Mountain Bike,outdoor,599.99,2024-03-10T03:26:03.894163
ea7bb42e-9c68-41f3-8116-f9e571c622c3,92,9.0,0,desktop,West Miranda,13,Fitbit Charge 5,fitness,0.0,2024-10-19T03:26:03.894258
5da624e3-6f02-4321-bd71-01a7e7f47576,8,22.0,4,desktop,Douglashaven,12,Yeti Tumbler,beverages,30.0,2024-09-30T03:26:03.894417
c3ab3c4f-c945-4df1-96d2-9ce27227c64f,37,30.0,2,mobile,New Teresastad,5,Dell XPS 13,electronics,0.0,2024-01-17T03:26:03.894537
55691d2a-9d41-4b23-9492-c9a30e30c0f2,10,,4,desktop,Amyburgh,34,Under Armour Compression Shirt,fitness,49.99,2024-03-17T03:26:03.894630
35ea6743-29ac-4ff5-bd35-183b9e92a9d3,52,32.0,1,desktop,Aguilarfurt,32,Canon EOS M50,electronics,0.0,2024-03-16T03:26:03.894755
0b26960b-e689-458f-a74a-ded0e89d7cd4,8,,4,desktop,Kellyshire,29,Columbia Hiking Boots,outdoor,129.99,2024-02-04T03:26:03.894877
9bc3cef3-3829-4759-8e41-e60b0fe2a702,83,22.0,0,mobile,Johnsonside,4,Herman Miller Chair,office,0.0,2024-06-12T03:26:03.895001
0f93e358-45dc-4877-aa6d-b051c80e935c,57,,2,mobile,North Joshua,31,Weber Charcoal Grill,home,0.0,2024-12-09T03:26:03.895101
c8f796fc-37ee-4f39-b423-be28afde715e,55,23.0,2,tablet,Janetbury,25,Standing Desk Converter,office,0.0,2024-10-06T03:26:03.895197
7f97e73d-c880-4588-b757-664e4175d884,68,21.0,2,mobile,Brianborough,16,GoPro Hero 11,electronics,0.0,2024-04-20T03:26:03.895290
d78a70c9-1bca-4590-9d48-39fbbfaa8b49,44,,2,mobile,Morseberg,26,Nespresso Vertuo Plus,home,0.0,2024-08-02T03:26:03.895439
edd6cc54-253d-48ea-9459-5ef273e0bd71,32,29.0,0,desktop,Austinmouth,35,Google Nest Hub,electronics,0.0,2024-03-29T03:26:03.895561
